Nation,Yr,Indicator,Amount,Data Source,Notes
Argentina,2015,GDP per capita,41566.45,World Bank (synthetic),
Argentina,2016,GDP per capita,42447.178,World Bank (synthetic),
Argentina,2017,GDP per capita,43314.649,World Bank (synthetic),
Argentina,2018,GDP per capita,44909.761,World Bank (synthetic),
Argentina,2019,GDP per capita,45881.912,World Bank (synthetic),
Argentina,2020,GDP per capita,48015.215,World Bank (synthetic),
Argentina,2021,GDP per capita,50404.418,World Bank (synthetic),
Argentina,2022,GDP per capita,50517.677,World Bank (synthetic),
Argentina,2023,GDP per capita,51932.349,World Bank (synthetic),
Argentina,2015,Population,430.02,World Bank (synthetic),
Argentina,2016,Population,432.691,World Bank (synthetic),
Argentina,2017,Population,430.238,World Bank (synthetic),
Argentina,2018,Population,440.498,World Bank (synthetic),
Argentina,2019,Population,449.74,World Bank (synthetic),
Argentina,2020,Population,440.484,World Bank (synthetic),
Argentina,2021,Population,450.928,World Bank (synthetic),
Argentina,2022,Population,445.507,World Bank (synthetic),
Argentina,2023,Population,454.211,World Bank (synthetic),
Argentina,2015,Life expectancy,63.374,World Bank (synthetic),
Argentina,2016,Life expectancy,62.514,World Bank (synthetic),
Argentina,2017,Life expectancy,64.112,World Bank (synthetic),
Argentina,2018,Life expectancy,64.131,World Bank (synthetic),
Argentina,2019,Life expectancy,63.929,World Bank (synthetic),
Argentina,2020,Life expectancy,61.812,World Bank (synthetic),
Argentina,2021,Life expectancy,63.845,World Bank (synthetic),
Argentina,2022,Life expectancy,64.447,World Bank (synthetic),
Argentina,2015,CO2 per capita,8.043,World Bank (synthetic),
Argentina,2016,CO2 per capita,7.902,World Bank (synthetic),
Argentina,2017,CO2 per capita,7.843,World Bank (synthetic),
Argentina,2018,CO2 per capita,7.985,World Bank (synthetic),
Argentina,2019,CO2 per capita,7.687,World Bank (synthetic),
Argentina,2020,CO2 per capita,7.7,World Bank (synthetic),
Argentina,2021,CO2 per capita,7.728,World Bank (synthetic),
Argentina,2022,CO2 per capita,7.484,World Bank (synthetic),
Australia,2015,GDP per capita,57515.9,World Bank (synthetic),
Australia,2016,GDP per capita,58097.184,World Bank (synthetic),
Australia,2017,GDP per capita,61029.919,World Bank (synthetic),
Australia,2018,GDP per capita,64068.895,World Bank (synthetic),
Australia,2019,GDP per capita,63171.906,World Bank (synthetic),
Australia,2020,GDP per capita,67471.652,World Bank (synthetic),
Australia,2021,GDP per capita,68734.186,World Bank (synthetic),
Australia,2022,GDP per capita,69989.703,World Bank (synthetic),
Australia,2023,GDP per capita,74973.93,World Bank (synthetic),
Australia,2015,Population,824.365,World Bank (synthetic),
Australia,2016,Population,848.809,World Bank (synthetic),
Australia,2017,Population,863.748,World Bank (synthetic),
Australia,2018,Population,862.454,World Bank (synthetic),
Australia,2019,Population,882.501,World Bank (synthetic),
Australia,2020,Population,881.408,World Bank (synthetic),
Australia,2021,Population,900.03,World Bank (synthetic),
Australia,2022,Population,919.443,World Bank (synthetic),
Australia,2023,Population,899.809,World Bank (synthetic),
Australia,2015,Life expectancy,74.07,World Bank (synthetic),
Australia,2016,Life expectancy,74.88,World Bank (synthetic),
Australia,2017,Life expectancy,73.553,World Bank (synthetic),
Australia,2018,Life expectancy,74.384,World Bank (synthetic),
Australia,2019,Life expectancy,74.965,World Bank (synthetic),
Australia,2020,Life expectancy,76.352,World Bank (synthetic),
Australia,2021,Life expectancy,76.784,World Bank (synthetic),
Australia,2022,Life expectancy,74.137,World Bank (synthetic),
Australia,2023,Life expectancy,74.886,World Bank (synthetic),
Australia,2015,CO2 per capita,4.867,World Bank (synthetic),
Australia,2016,CO2 per capita,4.932,World Bank (synthetic),
Australia,2017,CO2 per capita,4.91,World Bank (synthetic),
Australia,2018,CO2 per capita,4.959,World Bank (synthetic),
Australia,2019,CO2 per capita,4.869,World Bank (synthetic),
Australia,2020,CO2 per capita,4.747,World Bank (synthetic),
Australia,2021,CO2 per capita,4.697,World Bank (synthetic),
Australia,2022,CO2 per capita,4.658,World Bank (synthetic),
Australia,2023,CO2 per capita,4.735,World Bank (synthetic),
Brazil,2015,GDP per capita,60182.659,World Bank (synthetic),
Brazil,2016,GDP per capita,62601.145,World Bank (synthetic),
Brazil,2017,GDP per capita,64023.761,World Bank (synthetic),
Brazil,2018,GDP per capita,65868.651,World Bank (synthetic),
Brazil,2019,GDP per capita,66908.959,World Bank (synthetic),
Brazil,2020,GDP per capita,70075.347,World Bank (synthetic),
Brazil,2021,GDP per capita,71709.751,World Bank (synthetic),
Brazil,2022,GDP per capita,75656.411,World Bank (synthetic),
Brazil,2023,GDP per capita,77336.725,World Bank (synthetic),
Brazil,2015,Population,1239.63,World Bank (synthetic),
Brazil,2016,Population,1233.279,World Bank (synthetic),
Brazil,2017,Population,1271.753,World Bank (synthetic),
Brazil,2018,Population,1264.412,World Bank (synthetic),
Brazil,2019,Population,1288.336,World Bank (synthetic),
Brazil,2020,Population,1264.954,World Bank (synthetic),
Brazil,2021,Population,1309.605,World Bank (synthetic),
Brazil,2022,Population,1282.537,World Bank (synthetic),
Brazil,2023,Population,1288.443,World Bank (synthetic),
Brazil,2015,Life expectancy,74.088,World Bank (synthetic),
Brazil,2016,Life expectancy,75.437,World Bank (synthetic),
Brazil,2017,Life expectancy,77.941,World Bank (synthetic),
Brazil,2018,Life expectancy,74.611,World Bank (synthetic),
Brazil,2019,Life expectancy,74.996,World Bank (synthetic),
Brazil,2020,Life expectancy,76.09,World Bank (synthetic),
Brazil,2021,Life expectancy,76.57,World Bank (synthetic),
Brazil,2022,Life expectancy,75.958,World Bank (synthetic),
Brazil,2023,Life expectancy,76.076,World Bank (synthetic),
Brazil,2015,CO2 per capita,14.688,World Bank (synthetic),
Brazil,2016,CO2 per capita,14.205,World Bank (synthetic),
Brazil,2017,CO2 per capita,14.267,World Bank (synthetic),
Brazil,2018,CO2 per capita,14.149,World Bank (synthetic),
Brazil,2019,CO2 per capita,13.778,World Bank (synthetic),
Brazil,2020,CO2 per capita,13.914,World Bank (synthetic),
Brazil,2021,CO2 per capita,13.545,World Bank (synthetic),
Brazil,2022,CO2 per capita,13.782,World Bank (synthetic),
Brazil,2023,CO2 per capita,13.487,World Bank (synthetic),
Canada,2015,GDP per capita,41224.362,World Bank (synthetic),
Canada,2016,GDP per capita,42764.676,World Bank (synthetic),
Canada,2017,GDP per capita,42803.831,World Bank (synthetic),
Canada,2018,GDP per capita,44678.571,World Bank (synthetic),
Canada,2019,GDP per capita,47068.19,World Bank (synthetic),
Canada,2020,GDP per capita,46678.283,World Bank (synthetic),
Canada,2021,GDP per capita,50295.034,World Bank (synthetic),
Canada,2022,GDP per capita,49814.466,World Bank (synthetic),
Canada,2023,GDP per capita,53286.974,World Bank (synthetic),
Canada,2015,Population,814.203,World Bank (synthetic),
Canada,2016,Population,814.444,World Bank (synthetic),
Canada,2017,Population,802.05,World Bank (synthetic),
Canada,2018,Population,844.722,World Bank (synthetic),
Canada,2019,Population,855.588,World Bank (synthetic),
Canada,2020,Population,845.017,World Bank (synthetic),
Canada,2021,Population,850.8,World Bank (synthetic),
Canada,2022,Population,860.784,World Bank (synthetic),
Canada,2023,Population,858.735,World Bank (synthetic),
Canada,2015,Life expectancy,72.502,World Bank (synthetic),
Canada,2016,Life expectancy,73.187,World Bank (synthetic),
Canada,2017,Life expectancy,72.516,World Bank (synthetic),
Canada,2018,Life expectancy,72.846,World Bank (synthetic),
Canada,2019,Life expectancy,72.271,World Bank (synthetic),
Canada,2020,Life expectancy,75.223,World Bank (synthetic),
Canada,2021,Life expectancy,73.808,World Bank (synthetic),
Canada,2022,Life expectancy,75.2,World Bank (synthetic),
Canada,2023,Life expectancy,74.29,World Bank (synthetic),
Canada,2015,CO2 per capita,12.891,World Bank (synthetic),
Canada,2016,CO2 per capita,12.717,World Bank (synthetic),
Canada,2017,CO2 per capita,12.699,World Bank (synthetic),
Canada,2018,CO2 per capita,12.499,World Bank (synthetic),
Canada,2019,CO2 per capita,12.388,World Bank (synthetic),
Canada,2020,CO2 per capita,12.065,World Bank (synthetic),
Canada,2021,CO2 per capita,12.049,World Bank (synthetic),
Canada,2022,CO2 per capita,12.374,World Bank (synthetic),
Canada,2023,CO2 per capita,11.834,World Bank (synthetic),
China,2015,GDP per capita,55208.579,World Bank (synthetic),
China,2016,GDP per capita,57772.876,World Bank (synthetic),
China,2017,GDP per capita,57004.892,World Bank (synthetic),
China,2018,GDP per capita,59836.443,World Bank (synthetic),
China,2019,GDP per capita,61238.765,World Bank (synthetic),
China,2020,GDP per capita,61997.545,World Bank (synthetic),
China,2021,GDP per capita,66313.11,World Bank (synthetic),
China,2022,GDP per capita,67533.996,World Bank (synthetic),
China,2023,GDP per capita,69659.054,World Bank (synthetic),
China,2015,Population,263.31,World Bank (synthetic),
China,2016,Population,262.004,World Bank (synthetic),
China,2017,Population,266.211,World Bank (synthetic),
China,2018,Population,264.971,World Bank (synthetic),
China,2019,Population,267.18,World Bank (synthetic),
China,2020,Population,280.373,World Bank (synthetic),
China,2021,Population,275.503,World Bank (synthetic),
China,2022,Population,281.618,World Bank (synthetic),
China,2023,Population,283.051,World Bank (synthetic),
China,2015,Life expectancy,71.06,World Bank (synthetic),
China,2016,Life expectancy,72.427,World Bank (synthetic),
China,2017,Life expectancy,71.567,World Bank (synthetic),
China,2018,Life expectancy,71.873,World Bank (synthetic),
China,2019,Life expectancy,72.205,World Bank (synthetic),
China,2020,Life expectancy,73.601,World Bank (synthetic),
China,2021,Life expectancy,73.209,World Bank (synthetic),
China,2022,Life expectancy,73.031,World Bank (synthetic),
China,2023,Life expectancy,72.145,World Bank (synthetic),
China,2015,CO2 per capita,9.705,World Bank (synthetic),
China,2016,CO2 per capita,9.611,World Bank (synthetic),
China,2017,CO2 per capita,9.359,World Bank (synthetic),
China,2018,CO2 per capita,9.36,World Bank (synthetic),
China,2019,CO2 per capita,9.3,World Bank (synthetic),
China,2020,CO2 per capita,9.214,World Bank (synthetic),
China,2021,CO2 per capita,9.134,World Bank (synthetic),
China,2022,CO2 per capita,8.858,World Bank (synthetic),
China,2023,CO2 per capita,9.03,World Bank (synthetic),
Egypt,2015,GDP per capita,14230.513,World Bank (synthetic),
Egypt,2016,GDP per capita,14577.597,World Bank (synthetic),
Egypt,2017,GDP per capita,15099.811,World Bank (synthetic),
Egypt,2018,GDP per capita,15784.321,World Bank (synthetic),
Egypt,2019,GDP per capita,16164.267,World Bank (synthetic),
Egypt,2020,GDP per capita,16006.783,World Bank (synthetic),
Egypt,2021,GDP per capita,16350.228,World Bank (synthetic),
Egypt,2022,GDP per capita,17490.116,World Bank (synthetic),
Egypt,2015,Population,890.197,World Bank (synthetic),
Egypt,2016,Population,866.021,World Bank (synthetic),
Egypt,2017,Population,868.411,World Bank (synthetic),
Egypt,2018,Population,909.285,World Bank (synthetic),
Egypt,2019,Population,915.429,World Bank (synthetic),
Egypt,2020,Population,920.561,World Bank (synthetic),
Egypt,2021,Population,933.747,World Bank (synthetic),
Egypt,2022,Population,930.373,World Bank (synthetic),
Egypt,2023,Population,930.353,World Bank (synthetic),
Egypt,2015,Life expectancy,73.52,World Bank (synthetic),
Egypt,2016,Life expectancy,72.914,World Bank (synthetic),
Egypt,2017,Life expectancy,75.474,World Bank (synthetic),
Egypt,2018,Life expectancy,74.987,World Bank (synthetic),
Egypt,2019,Life expectancy,75.665,World Bank (synthetic),
Egypt,2020,Life expectancy,74.238,World Bank (synthetic),
Egypt,2021,Life expectancy,74.762,World Bank (synthetic),
Egypt,2022,Life expectancy,74.525,World Bank (synthetic),
Egypt,2023,Life expectancy,74.801,World Bank (synthetic),
Egypt,2015,CO2 per capita,14.151,World Bank (synthetic),
Egypt,2016,CO2 per capita,14.252,World Bank (synthetic),
Egypt,2017,CO2 per capita,14.106,World Bank (synthetic),
Egypt,2018,CO2 per capita,14.316,World Bank (synthetic),
Egypt,2019,CO2 per capita,13.468,World Bank (synthetic),
Egypt,2020,CO2 per capita,13.799,World Bank (synthetic),
Egypt,2021,CO2 per capita,13.463,World Bank (synthetic),
Egypt,2022,CO2 per capita,13.344,World Bank (synthetic),
Egypt,2023,CO2 per capita,12.926,World Bank (synthetic),
France,2015,GDP per capita,43890.259,World Bank (synthetic),
France,2016,GDP per capita,44653.245,World Bank (synthetic),
France,2017,GDP per capita,46105.802,World Bank (synthetic),
France,2018,GDP per capita,47224.473,World Bank (synthetic),
France,2019,GDP per capita,49700.332,World Bank (synthetic),
France,2020,GDP per capita,50303.668,World Bank (synthetic),
France,2021,GDP per capita,50118.776,World Bank (synthetic),
France,2022,GDP per capita,52830.168,World Bank (synthetic),
France,2023,GDP per capita,53362.046,World Bank (synthetic),
France,2015,Population,346.534,World Bank (synthetic),
France,2016,Population,350.826,World Bank (synthetic),
France,2017,Population,364.319,World Bank (synthetic),
France,2018,Population,361.001,World Bank (synthetic),
France,2019,Population,357.945,World Bank (synthetic),
France,2020,Population,362.804,World Bank (synthetic),
France,2021,Population,377.98,World Bank (synthetic),
France,2022,Population,376.281,World Bank (synthetic),
France,2023,Population,379.421,World Bank (synthetic),
France,2015,Life expectancy,61.499,World Bank (synthetic),
France,2016,Life expectancy,62.33,World Bank (synthetic),
France,2017,Life expectancy,62.221,World Bank (synthetic),
France,2018,Life expectancy,62.033,World Bank (synthetic),
France,2019,Life expectancy,60.987,World Bank (synthetic),
France,2020,Life expectancy,62.556,World Bank (synthetic),
France,2021,Life expectancy,61.566,World Bank (synthetic),
France,2022,Life expectancy,63.352,World Bank (synthetic),
France,2023,Life expectancy,61.263,World Bank (synthetic),
France,2015,CO2 per capita,14.176,World Bank (synthetic),
France,2016,CO2 per capita,13.757,World Bank (synthetic),
France,2017,CO2 per capita,14.254,World Bank (synthetic),
France,2018,CO2 per capita,14.058,World Bank (synthetic),
France,2019,CO2 per capita,13.524,World Bank (synthetic),
France,2020,CO2 per capita,13.639,World Bank (synthetic),
France,2021,CO2 per capita,13.424,World Bank (synthetic),
France,2022,CO2 per capita,12.696,World Bank (synthetic),
France,2023,CO2 per capita,13.131,World Bank (synthetic),
Germany,2015,GDP per capita,34726.196,World Bank (synthetic),
Germany,2016,GDP per capita,35146.345,World Bank (synthetic),
Germany,2017,GDP per capita,36646.432,World Bank (synthetic),
Germany,2018,GDP per capita,37797.607,World Bank (synthetic),
Germany,2019,GDP per capita,39731.588,World Bank (synthetic),
Germany,2020,GDP per capita,40408.685,World Bank (synthetic),
Germany,2021,GDP per capita,41409.749,World Bank (synthetic),
Germany,2022,GDP per capita,43633.883,World Bank (synthetic),
Germany,2023,GDP per capita,43569.339,World Bank (synthetic),
Germany,2015,Population,879.47,World Bank (synthetic),
Germany,2016,Population,934.641,World Bank (synthetic),
Germany,2017,Population,935.621,World Bank (synthetic),
Germany,2018,Population,944.314,World Bank (synthetic),
Germany,2019,Population,950.258,World Bank (synthetic),
Germany,2020,Population,951.796,World Bank (synthetic),
Germany,2021,Population,962.831,World Bank (synthetic),
Germany,2022,Population,965.662,World Bank (synthetic),
Germany,2023,Population,976.029,World Bank (synthetic),
Germany,2015,Life expectancy,79.462,World Bank (synthetic),
Germany,2016,Life expectancy,78.504,World Bank (synthetic),
Germany,2017,Life expectancy,77.943,World Bank (synthetic),
Germany,2018,Life expectancy,77.488,World Bank (synthetic),
Germany,2019,Life expectancy,77.577,World Bank (synthetic),
Germany,2020,Life expectancy,80.367,World Bank (synthetic),
Germany,2021,Life expectancy,79.235,World Bank (synthetic),
Germany,2022,Life expectancy,78.874,World Bank (synthetic),
Germany,2023,Life expectancy,78.542,World Bank (synthetic),
Germany,2015,CO2 per capita,11.618,World Bank (synthetic),
Germany,2016,CO2 per capita,11.664,World Bank (synthetic),
Germany,2017,CO2 per capita,11.331,World Bank (synthetic),
Germany,2018,CO2 per capita,11.246,World Bank (synthetic),
Germany,2019,CO2 per capita,11.134,World Bank (synthetic),
Germany,2020,CO2 per capita,11.078,World Bank (synthetic),
Germany,2021,CO2 per capita,10.688,World Bank (synthetic),
Germany,2022,CO2 per capita,10.801,World Bank (synthetic),
Germany,2023,CO2 per capita,10.594,World Bank (synthetic),
India,2015,GDP per capita,53371.243,World Bank (synthetic),
India,2016,GDP per capita,56096.624,World Bank (synthetic),
India,2017,GDP per capita,58593.574,World Bank (synthetic),
India,2018,GDP per capita,58724.66,World Bank (synthetic),
India,2019,GDP per capita,60223.882,World Bank (synthetic),
India,2020,GDP per capita,62775.179,World Bank (synthetic),
India,2021,GDP per capita,64471.338,World Bank (synthetic),
India,2022,GDP per capita,65417.746,World Bank (synthetic),
India,2023,GDP per capita,68872.626,World Bank (synthetic),
India,2015,Population,306.794,World Bank (synthetic),
India,2016,Population,310.12,World Bank (synthetic),
India,2017,Population,309.253,World Bank (synthetic),
India,2018,Population,318.838,World Bank (synthetic),
India,2019,Population,314.498,World Bank (synthetic),
India,2020,Population,318.323,World Bank (synthetic),
India,2021,Population,333.21,World Bank (synthetic),
India,2022,Population,325.719,World Bank (synthetic),
India,2023,Population,338.915,World Bank (synthetic),
India,2015,Life expectancy,84.206,World Bank (synthetic),
India,2016,Life expectancy,84.745,World Bank (synthetic),
India,2017,Life expectancy,86.681,World Bank (synthetic),
India,2018,Life expectancy,84.135,World Bank (synthetic),
India,2019,Life expectancy,83.8,World Bank (synthetic),
India,2020,Life expectancy,83.002,World Bank (synthetic),
India,2021,Life expectancy,84.944,World Bank (synthetic),
India,2022,Life expectancy,86.948,World Bank (synthetic),
India,2023,Life expectancy,86.458,World Bank (synthetic),
India,2015,CO2 per capita,13.632,World Bank (synthetic),
India,2016,CO2 per capita,13.568,World Bank (synthetic),
India,2017,CO2 per capita,13.594,World Bank (synthetic),
India,2018,CO2 per capita,13.358,World Bank (synthetic),
India,2019,CO2 per capita,13.308,World Bank (synthetic),
India,2020,CO2 per capita,13.191,World Bank (synthetic),
India,2021,CO2 per capita,12.943,World Bank (synthetic),
India,2022,CO2 per capita,12.864,World Bank (synthetic),
India,2023,CO2 per capita,12.782,World Bank (synthetic),
Indonesia,2015,GDP per capita,27126.404,World Bank (synthetic),
Indonesia,2016,GDP per capita,28508.962,World Bank (synthetic),
Indonesia,2017,GDP per capita,28816.298,World Bank (synthetic),
Indonesia,2018,GDP per capita,29444.182,World Bank (synthetic),
Indonesia,2019,GDP per capita,29535.745,World Bank (synthetic),
Indonesia,2020,GDP per capita,31392.833,World Bank (synthetic),
Indonesia,2021,GDP per capita,31208.826,World Bank (synthetic),
Indonesia,2022,GDP per capita,32412.128,World Bank (synthetic),
Indonesia,2023,GDP per capita,34542.542,World Bank (synthetic),
Indonesia,2015,Population,294.242,World Bank (synthetic),
Indonesia,2016,Population,290.215,World Bank (synthetic),
Indonesia,2017,Population,299.158,World Bank (synthetic),
Indonesia,2018,Population,300.748,World Bank (synthetic),
Indonesia,2019,Population,309.812,World Bank (synthetic),
Indonesia,2020,Population,320.446,World Bank (synthetic),
Indonesia,2021,Population,314.067,World Bank (synthetic),
Indonesia,2022,Population,312.483,World Bank (synthetic),
Indonesia,2015,Life expectancy,80.688,World Bank (synthetic),
Indonesia,2016,Life expectancy,79.664,World Bank (synthetic),
Indonesia,2017,Life expectancy,81.368,World Bank (synthetic),
Indonesia,2018,Life expectancy,79.984,World Bank (synthetic),
Indonesia,2019,Life expectancy,82.912,World Bank (synthetic),
Indonesia,2020,Life expectancy,83.017,World Bank (synthetic),
Indonesia,2021,Life expectancy,83.21,World Bank (synthetic),
Indonesia,2022,Life expectancy,81.458,World Bank (synthetic),
Indonesia,2023,Life expectancy,82.84,World Bank (synthetic),
Indonesia,2015,CO2 per capita,12.106,World Bank (synthetic),
Indonesia,2016,CO2 per capita,11.994,World Bank (synthetic),
Indonesia,2017,CO2 per capita,11.702,World Bank (synthetic),
Indonesia,2018,CO2 per capita,11.56,World Bank (synthetic),
Indonesia,2019,CO2 per capita,11.837,World Bank (synthetic),
Indonesia,2020,CO2 per capita,11.547,World Bank (synthetic),
Indonesia,2021,CO2 per capita,11.502,World Bank (synthetic),
