Country,Parameter,Y1 2015,Y2 2016,Y3 2017,Y4 2018,Y5 2019,Y6 2020,Y7 2021,Y8 2022,Y9 2023
Argentina,CO2 per capita,8.043,7.902,7.843,7.985,7.687,7.7,7.728,7.484,
Argentina,GDP per capita,41566.45,42447.178,43314.649,44909.761,45881.912,48015.215,50404.418,50517.677,51932.349
Argentina,Life expectancy,63.374,62.514,64.112,64.131,63.929,61.812,63.845,64.447,
Argentina,Population,430.02,432.691,430.238,440.498,449.74,440.484,450.928,445.507,454.211
Australia,CO2 per capita,4.867,4.932,4.91,4.959,4.869,4.747,4.697,4.658,4.735
Australia,GDP per capita,57515.9,58097.184,61029.919,64068.895,63171.906,67471.652,68734.186,69989.703,74973.93
Australia,Life expectancy,74.07,74.88,73.553,74.384,74.965,76.352,76.784,74.137,74.886
Australia,Population,824.365,848.809,863.748,862.454,882.501,881.408,900.03,919.443,899.809
Brazil,CO2 per capita,14.688,14.205,14.267,14.149,13.778,13.914,13.545,13.782,13.487
Brazil,GDP per capita,60182.659,62601.145,64023.761,65868.651,66908.959,70075.347,71709.751,75656.411,77336.725
Brazil,Life expectancy,74.088,75.437,77.941,74.611,74.996,76.09,76.57,75.958,76.076
Brazil,Population,1239.63,1233.279,1271.753,1264.412,1288.336,1264.954,1309.605,1282.537,1288.443
Canada,CO2 per capita,12.891,12.717,12.699,12.499,12.388,12.065,12.049,12.374,11.834
Canada,GDP per capita,41224.362,42764.676,42803.831,44678.571,47068.19,46678.283,50295.034,49814.466,53286.974
Canada,Life expectancy,72.502,73.187,72.516,72.846,72.271,75.223,73.808,75.2,74.29
Canada,Population,814.203,814.444,802.05,844.722,855.588,845.017,850.8,860.784,858.735
China,CO2 per capita,9.705,9.611,9.359,9.36,9.3,9.214,9.134,8.858,9.03
China,GDP per capita,55208.579,57772.876,57004.892,59836.443,61238.765,61997.545,66313.11,67533.996,69659.054
China,Life expectancy,71.06,72.427,71.567,71.873,72.205,73.601,73.209,73.031,72.145
China,Population,263.31,262.004,266.211,264.971,267.18,280.373,275.503,281.618,283.051
Egypt,CO2 per capita,14.151,14.252,14.106,14.316,13.468,13.799,13.463,13.344,12.926
Egypt,GDP per capita,14230.513,14577.597,15099.811,15784.321,16164.267,16006.783,16350.228,17490.116,
Egypt,Life expectancy,73.52,72.914,75.474,74.987,75.665,74.238,74.762,74.525,74.801
Egypt,Population,890.197,866.021,868.411,909.285,915.429,920.561,933.747,930.373,930.353
France,CO2 per capita,14.176,13.757,14.254,14.058,13.524,13.639,13.424,12.696,13.131
France,GDP per capita,43890.259,44653.245,46105.802,47224.473,49700.332,50303.668,50118.776,52830.168,53362.046
France,Life expectancy,61.499,62.33,62.221,62.033,60.987,62.556,61.566,63.352,61.263
France,Population,346.534,350.826,364.319,361.001,357.945,362.804,377.98,376.281,379.421
Germany,CO2 per capita,11.618,11.664,11.331,11.246,11.134,11.078,10.688,10.801,10.594
Germany,GDP per capita,34726.196,35146.345,36646.432,37797.607,39731.588,40408.685,41409.749,43633.883,43569.339
Germany,Life expectancy,79.462,78.504,77.943,77.488,77.577,80.367,79.235,78.874,78.542
Germany,Population,879.47,934.641,935.621,944.314,950.258,951.796,962.831,965.662,976.029
India,CO2 per capita,13.632,13.568,13.594,13.358,13.308,13.191,12.943,12.864,12.782
India,GDP per capita,53371.243,56096.624,58593.574,58724.66,60223.882,62775.179,64471.338,65417.746,68872.626
India,Life expectancy,84.206,84.745,86.681,84.135,83.8,83.002,84.944,86.948,86.458
India,Population,306.794,310.12,309.253,318.838,314.498,318.323,333.21,325.719,338.915
Indonesia,CO2 per capita,12.106,11.994,11.702,11.56,11.837,11.547,11.502,11.521,10.945
