Country,Year,CO2 per capita,GDP per capita,Life expectancy,Population
Argentina,2015,8.043,41566.45,63.374,430.02
Argentina,2016,7.902,42447.178,62.514,432.691
Argentina,2017,7.843,43314.649,64.112,430.238
Argentina,2018,7.985,44909.761,64.131,440.498
Argentina,2019,7.687,45881.912,63.929,449.74
Argentina,2020,7.7,48015.215,61.812,440.484
Argentina,2021,7.728,50404.418,63.845,450.928
Argentina,2022,7.484,50517.677,64.447,445.507
Argentina,2023,,51932.349,,454.211
Australia,2015,4.867,57515.9,74.07,824.365
Australia,2016,4.932,58097.184,74.88,848.809
Australia,2017,4.91,61029.919,73.553,863.748
Australia,2018,4.959,64068.895,74.384,862.454
Australia,2019,4.869,63171.906,74.965,882.501
Australia,2020,4.747,67471.652,76.352,881.408
Australia,2021,4.697,68734.186,76.784,900.03
Australia,2022,4.658,69989.703,74.137,919.443
Australia,2023,4.735,74973.93,74.886,899.809
Brazil,2015,14.688,60182.659,74.088,1239.63
Brazil,2016,14.205,62601.145,75.437,1233.279
Brazil,2017,14.267,64023.761,77.941,1271.753
Brazil,2018,14.149,65868.651,74.611,1264.412
Brazil,2019,13.778,66908.959,74.996,1288.336
Brazil,2020,13.914,70075.347,76.09,1264.954
Brazil,2021,13.545,71709.751,76.57,1309.605
Brazil,2022,13.782,75656.411,75.958,1282.537
Brazil,2023,13.487,77336.725,76.076,1288.443
Canada,2015,12.891,41224.362,72.502,814.203
Canada,2016,12.717,42764.676,73.187,814.444
Canada,2017,12.699,42803.831,72.516,802.05
Canada,2018,12.499,44678.571,72.846,844.722
Canada,2019,12.388,47068.19,72.271,855.588
Canada,2020,12.065,46678.283,75.223,845.017
Canada,2021,12.049,50295.034,73.808,850.8
Canada,2022,12.374,49814.466,75.2,860.784
Canada,2023,11.834,53286.974,74.29,858.735
China,2015,9.705,55208.579,71.06,263.31
China,2016,9.611,57772.876,72.427,262.004
China,2017,9.359,57004.892,71.567,266.211
China,2018,9.36,59836.443,71.873,264.971
China,2019,9.3,61238.765,72.205,267.18
China,2020,9.214,61997.545,73.601,280.373
China,2021,9.134,66313.11,73.209,275.503
China,2022,8.858,67533.996,73.031,281.618
China,2023,9.03,69659.054,72.145,283.051
Egypt,2015,14.151,14230.513,73.52,890.197
Egypt,2016,14.252,14577.597,72.914,866.021
Egypt,2017,14.106,15099.811,75.474,868.411
Egypt,2018,14.316,15784.321,74.987,909.285
Egypt,2019,13.468,16164.267,75.665,915.429
Egypt,2020,13.799,16006.783,74.238,920.561
Egypt,2021,13.463,16350.228,74.762,933.747
Egypt,2022,13.344,17490.116,74.525,930.373
Egypt,2023,12.926,,74.801,930.353
France,2015,14.176,43890.259,61.499,346.534
France,2016,13.757,44653.245,62.33,350.826
France,2017,14.254,46105.802,62.221,364.319
France,2018,14.058,47224.473,62.033,361.001
France,2019,13.524,49700.332,60.987,357.945
France,2020,13.639,50303.668,62.556,362.804
France,2021,13.424,50118.776,61.566,377.98
France,2022,12.696,52830.168,63.352,376.281
France,2023,13.131,53362.046,61.263,379.421
Germany,2015,11.618,34726.196,79.462,879.47
Germany,2016,11.664,35146.345,78.504,934.641
Germany,2017,11.331,36646.432,77.943,935.621
Germany,2018,11.246,37797.607,77.488,944.314
Germany,2019,11.134,39731.588,77.577,950.258
Germany,2020,11.078,40408.685,80.367,951.796
Germany,2021,10.688,41409.749,79.235,962.831
Germany,2022,10.801,43633.883,78.874,965.662
Germany,2023,10.594,43569.339,78.542,976.029
