Country,CO2 per capita (2021),CO2 per capita (2022),CO2 per capita (2023),GDP per capita (2021),GDP per capita (2022),GDP per capita (2023),Life expectancy (2021),Life expectancy (2022),Life expectancy (2023),Population (2021),Population (2022),Population (2023)
Argentina,7.728,7.484,,50404.418,50517.677,51932.349,63.845,64.447,,450.928,445.507,454.211
Australia,4.697,4.658,4.735,68734.186,69989.703,74973.93,76.784,74.137,74.886,900.03,919.443,899.809
Brazil,13.545,13.782,13.487,71709.751,75656.411,77336.725,76.57,75.958,76.076,1309.605,1282.537,1288.443
Canada,12.049,12.374,11.834,50295.034,49814.466,53286.974,73.808,75.2,74.29,850.8,860.784,858.735
China,9.134,8.858,9.03,66313.11,67533.996,69659.054,73.209,73.031,72.145,275.503,281.618,283.051
Egypt,13.463,13.344,12.926,16350.228,17490.116,,74.762,74.525,74.801,933.747,930.373,930.353
France,13.424,12.696,13.131,50118.776,52830.168,53362.046,61.566,63.352,61.263,377.98,376.281,379.421
Germany,10.688,10.801,10.594,41409.749,43633.883,43569.339,79.235,78.874,78.542,962.831,965.662,976.029
India,12.943,12.864,12.782,64471.338,65417.746,68872.626,84.944,86.948,86.458,333.21,325.719,338.915
Indonesia,11.502,11.521,10.945,31208.826,32412.128,34542.542,83.21,81.458,82.84,314.067,312.483,
Japan,6.971,6.997,6.68,45033.306,47609.42,48789.404,71.391,70.059,70.78,1289.133,1250.992,1297.004
Kenya,8.747,8.577,,59169.717,60386.938,61705.429,79.607,80.185,79.875,844.047,828.981,848.309
Mexico,6.013,5.779,5.667,71972.419,74752.686,76616.769,76.282,75.245,77.142,632.569,623.659,650.218
Nigeria,7.344,7.247,7.179,21750.542,22258.111,22738.156,70.028,69.869,,1344.734,1373.284,1393.781
South Africa,11.518,11.283,11.283,14609.913,15189.633,15608.466,72.934,74.321,74.436,1291.984,1318.108,1369.748
Spain,11.449,11.502,11.431,53094.003,54468.003,54916.268,82.078,83.521,81.107,400.798,408.868,413.811
United Kingdom,11.632,11.272,11.264,17921.231,18192.642,19164.306,60.733,60.997,62.32,408.354,405.147,415.397
United States,1.735,1.772,1.725,14162.085,14337.619,14609.914,80.257,80.166,78.983,1211.196,1204.003,1231.088
